Заготовка,Нужно из меню,Ед.,Выход рецепта,Коэф. партий,Статус
Содовая 1,0,0,0,0,0
Клубничный сироп,0,0,0,0,0
Пюре маракуйи,0,0,0,0,0
Шисо кордиал,0,0,0,0,0
Мармелад,0,0,0,0,0
Пребэч,0,0,0,0,0
Щавелевый кордиал,0,0,0,0,0
Бабл гам,0,0,0,0,0
Пюре из персиков,0,0,0,0,0
