ID,Рецепт,Тип рецепта,Ингредиент,Тип ингредиента,Кол-во,Ед.,Комментарий,Старый тип,Источник
56,Форест гамп,Шот,Сахарный сироп,Сырьё,10,мл,,Сахар,Лист4!строка 63
57,Шот 3,Шот,Ванильная водка,Сырьё,40,мл,,алко,Лист4!строка 64
58,Шот 3,Шот,Сок лимона,Сырьё,30,мл,,Лимон,Лист4!строка 65
59,Шот 3,Шот,Сладкий вермут,Сырьё,30,мл,,алко,Лист4!строка 66
60,Шот 3,Шот,Сахарный сироп,Сырьё,15,мл,,Сахар,Лист4!строка 67
61,Шот 4,Шот,Клубничный джин,Сырьё,40,мл,,алко,Лист4!строка 68
62,Шот 4,Шот,Сок лимона,Сырьё,10,мл,,Лимон,Лист4!строка 69
63,Шот 4,Шот,Сок лайма,Сырьё,10,мл,,,Лист4!строка 70
64,Шот 4,Шот,Сахарный сироп,Сырьё,20,мл,,Сахар,Лист4!строка 71
65,ШОТ 5,Шот,Ванильная водка,Сырьё,20,мл,,алко,Лист4!строка 72
66,ШОТ 5,Шот,Сок лимона,Сырьё,15,мл,,Лимон,Лист4!строка 73
67,ШОТ 5,Шот,Мята,Сырьё,2,шт/веточка,,покупное,Лист4!строка 74
68,ШОТ 5,Шот,Медовый сироп,Сырьё,10,мл,,пребэч,Лист4!строка 75
69,ШОТ 5,Шот,Грушевая водка,Сырьё,20,мл,,алко,Лист4!строка 76
70,Настойка клубника каркаде,Настойка,Каркаде,Сырьё,5,г,,покупное,Лист4!строка 80
71,Настойка клубника каркаде,Настойка,Вода,Сырьё,150,мл,,,Лист4!строка 81
72,Настойка клубника каркаде,Настойка,Клубника,Сырьё,200,г,,покупное,Лист4!строка 82
73,Настойка клубника каркаде,Настойка,Сахар,Сырьё,40,г,,Сахар,Лист4!строка 83
74,Настойка клубника каркаде,Настойка,Водка,Сырьё,350,мл,,алко,Лист4!строка 84
75,Настойка киви-мята,Настойка,Мята,Сырьё,10,шт/веточка,,покупное,Лист4!строка 85
76,Настойка киви-мята,Настойка,Водка,Сырьё,500,мл,,алко,Лист4!строка 86
77,Настойка киви-мята,Настойка,Киви,Сырьё,50,г,,покупное,Лист4!строка 87
78,Настойка киви-мята,Настойка,Сахар,Сырьё,50,г,,Сахар,Лист4!строка 88
79,Настойка улун-малина,Настойка,Улун,Сырьё,4,г,,покупное,Лист4!строка 89
80,Настойка улун-малина,Настойка,Вода,Сырьё,250,мл,,,Лист4!строка 90
81,Настойка улун-малина,Настойка,Малина,Сырьё,180,г,,покупное,Лист4!строка 91
82,Настойка улун-малина,Настойка,Сахар,Сырьё,35,г,,Сахар,Лист4!строка 92
83,Настойка улун-малина,Настойка,Водка,Сырьё,400,мл,,алко,Лист4!строка 93
84,Настойка клубника корица,Настойка,Клубника,Сырьё,100,г,,покупное,Лист4!строка 94
85,Настойка клубника корица,Настойка,Водка,Сырьё,250,мл,,алко,Лист4!строка 95
86,Настойка клубника корица,Настойка,Сахар,Сырьё,50,г,,Сахар,Лист4!строка 96
87,Настойка клубника корица,Настойка,Корица,Сырьё,3,г,,покупное,Лист4!строка 97
88,Настойка клубника корица,Настойка,Вода,Сырьё,250,мл,,,Лист4!строка 98
89,Настойка клубника корица,Настойка,Раствор яблочной к-ты,Сырьё,30,мл,,покупное,Лист4!строка 99
90,Содовая 1,Заготовка,Молочный улун,Сырьё,10,г,,покупное,Лист4!строка 104
91,Содовая 1,Заготовка,Вода,Сырьё,1000,мл,,,Лист4!строка 105
92,Содовая 1,Заготовка,Дынный аром-р,Сырьё,2.5,мл,,покупное,Лист4!строка 106
93,Содовая 1,Заготовка,Соль,Сырьё,0.3,г,,покупное,Лист4!строка 107
94,Содовая 1,Заготовка,Аскорбиновая к-та,Сырьё,1.5,г,,покупное,Лист4!строка 108
95,Клубничный сироп,Заготовка,Клубника,Сырьё,140,г,,покупное,Лист4!строка 109
96,Клубничный сироп,Заготовка,Мёд,Сырьё,140,г,,покупное,Лист4!строка 110
97,Пюре маракуйи,Заготовка,Маракуйя,Сырьё,1000,г,,покупное,Лист4!строка 111
98,Пюре маракуйи,Заготовка,Сахар,Сырьё,,г,250-400,Сахар,Лист4!строка 112
99,Пюре маракуйи,Заготовка,Вода,Сырьё,,мл,250-400,,Лист4!строка 113
100,Шисо кордиал,Заготовка,Шисо листья,Сырьё,25,,,покупное,Лист4!строка 114
101,Шисо кордиал,Заготовка,Сахарный сироп,Сырьё,400,мл,,Сахар,Лист4!строка 115
102,Шисо кордиал,Заготовка,Раствор яблочной к-ты,Сырьё,600,мл,,покупное,Лист4!строка 116
103,Мармелад,Заготовка,Красные апельсины,Сырьё,500,г,,покупное,Лист4!строка 117
104,Мармелад,Заготовка,Лемонграсс,Сырьё,50,г,,покупное,Лист4!строка 118
105,Мармелад,Заготовка,Севен Ап,Сырьё,500,мл,,покупное,Лист4!строка 119
106,Мармелад,Заготовка,Сахар,Сырьё,300,г,,Сахар,Лист4!строка 120
107,Мармелад,Заготовка,Лимонная к-та,Сырьё,1,г,,покупное,Лист4!строка 121
108,Пребэч,Заготовка,Пилы лайма,Сырьё,3,шт,,покупное,Лист4!строка 122
109,Пребэч,Заготовка,Пилы апельсина,Сырьё,4,шт,,покупное,Лист4!строка 123
110,Пребэч,Заготовка,Пилы грейпфрута,Сырьё,2,шт,,покупное,Лист4!строка 124
111,Пребэч,Заготовка,Малина,Сырьё,100,г,,покупное,Лист4!строка 125
112,Пребэч,Заготовка,Джин,Сырьё,100,мл,,алко,Лист4!строка 126
113,Пребэч,Заготовка,Водка,Сырьё,100,мл,,алко,Лист4!строка 127
114,Пребэч,Заготовка,Клюквенный ликёр,Сырьё,120,мл,,алко,Лист4!строка 128
115,Пребэч,Заготовка,Лемонграсс,Сырьё,1,г,,покупное,Лист4!строка 129
116,Щавелевый кордиал,Заготовка,Щавель,Сырьё,150,г,,покупное,Лист4!строка 130
117,Щавелевый кордиал,Заготовка,Молочная к-та,Сырьё,10,г,,покупное,Лист4!строка 131
118,Щавелевый кордиал,Заготовка,Яблочная к-та,Сырьё,10,г,,покупное,Лист4!строка 132
119,Щавелевый кордиал,Заготовка,Вода,Сырьё,500,мл,,,Лист4!строка 133
120,Бабл гам,Заготовка,Клубника,Сырьё,170,г,,покупное,Лист4!строка 134
121,Бабл гам,Заготовка,Сахар,Сырьё,170,г,,Сахар,Лист4!строка 135
122,Бабл гам,Заготовка,Вода,Сырьё,170,мл,,,Лист4!строка 136
123,Бабл гам,Заготовка,Ваниль,Сырьё,46082,г,,покупное,Лист4!строка 137
